name,rank,rate,matches,hero
Coʟʟᴀʙ 神,World Rank 5,Win Rate 76.9%,1472 Matches,johnson
ѕнα∂σω-,World Rank 2,Win Rate 69.39%,1297 Matches,cyclops
●Sყɳσ●,World Rank 3,Win Rate 88.77%,2476 Matches,cyclops
ᶰᵛ ғᴇɴʀɪʀ,World Rank 4,Win Rate 79.12%,656 Matches,cyclops
ᵀQuitters`Ben,World Rank 5,Win Rate 86.28%,1589 Matches,cyclops
Aicnelis,World Rank 2,Win Rate 56.11%,1472 Matches,estes
KingEstes,World Rank 3,Win Rate 52.57%,3369 Matches,estes
conveX,World Rank 4,Win Rate 55.25%,628 Matches,estes
(D31938) Amberjacks,World Rank 5,Win Rate 56.72%,305 Matches,estes
Fluk3_面包ღ,World Rank 2,Win Rate 70.2%,1114 Matches,hilda
Enjoy•ѧяєś,World Rank 3,Win Rate 55.42%,729 Matches,hilda
ᴍs secret*Love ✿,World Rank 4,Win Rate 63.28%,403 Matches,hilda
Mind_Control,World Rank 5,Win Rate 58.47%,744 Matches,hilda
Canonslash,World Rank 2,Win Rate 65.31%,1156 Matches,aurora
$ir Яåzør,World Rank 3,Win Rate 54.89%,2319 Matches,aurora
Flowerboy,World Rank 4,Win Rate 57.23%,809 Matches,aurora
ᴵ་ᴹ Lεgεиd,World Rank 5,Win Rate 60.11%,905 Matches,aurora
туρєя.骤,World Rank 2,Win Rate 76.54%,2276 Matches,lapu-lapu
Bocah_No1_Indonesia,World Rank 3,Win Rate 76.02%,905 Matches,lapu-lapu
Aʀss,World Rank 4,Win Rate 79.15%,2014 Matches,lapu-lapu
Strongberrie,World Rank 5,Win Rate 69.47%,1248 Matches,lapu-lapu
メ7 `Oh Deer Bambi,World Rank 2,Win Rate 73.76%,888 Matches,vexana
Bosku_No1_Indonesia,World Rank 3,Win Rate 80.94%,855 Matches,vexana
Soulzz44,World Rank 4,Win Rate 61.98%,484 Matches,vexana
(Ru),World Rank 5,Win Rate 54.02%,883 Matches,vexana
ωιѕн Yuvanᵀ4,World Rank 2,Win Rate 66.82%,1483 Matches,roger
[IB]"Rzk"GreatWolf,World Rank 3,Win Rate 55.37%,1929 Matches,roger
chilië,World Rank 4,Win Rate 54.93%,2079 Matches,roger
åmëèéxx,World Rank 5,Win Rate 52.11%,2065 Matches,roger
ɢᴏsᴜ,World Rank 2,Win Rate 79.93%,588 Matches,karrie
SS•501|❻◉❾,World Rank 3,Win Rate 86.21%,1320 Matches,karrie
°exotic-Vɑsiℓy°,World Rank 4,Win Rate 81.72%,454 Matches,karrie
•Gr£¥₩øLF•,World Rank 5,Win Rate 56.24%,825 Matches,karrie
machiato020,World Rank 2,Win Rate 52.75%,1475 Matches,gatotkaca
Δχοη Κιcκer,World Rank 3,Win Rate 55.98%,518 Matches,gatotkaca
Dan69,World Rank 4,Win Rate 51.1%,1675 Matches,gatotkaca
warrior!,World Rank 5,Win Rate 54.3%,1057 Matches,gatotkaca
Ꮯʀɪᴛ 神,World Rank 2,Win Rate 78.68%,741 Matches,harley
¢ruєʟ°ᴠɪᴅs,World Rank 3,Win Rate 84.53%,530 Matches,harley
Sαnity,World Rank 4,Win Rate 84.85%,904 Matches,harley
ɢᴏsᴜ Mizu水,World Rank 5,Win Rate 82.62%,1387 Matches,harley
Whiskey小屹,World Rank 2,Win Rate 61.17%,891 Matches,irithel
미스터피자,World Rank 3,Win Rate 65.6%,1183 Matches,irithel
David Dey,World Rank 4,Win Rate 54.94%,1529 Matches,irithel
｢Lunatic｣Tøxic,World Rank 5,Win Rate 61.02%,1393 Matches,irithel
ฬɑяяëภ ヅ,World Rank 2,Win Rate 84.77%,1451 Matches,grock
Iñigo Pascual,World Rank 3,Win Rate 78.56%,695 Matches,grock
Pooh™,World Rank 4,Win Rate 82.22%,1389 Matches,grock
r̶e̶i̶g̶a̶Kinds,World Rank 5,Win Rate 74.75%,602 Matches,grock
rebirth666,World Rank 2,Win Rate 76.07%,2532 Matches,argus
Sleepy.Panda,World Rank 3,Win Rate 65.22%,762 Matches,argus
RedZone,World Rank 4,Win Rate 58.75%,1234 Matches,argus
j-oker,World Rank 5,Win Rate 66.29%,439 Matches,argus
SHIN•MOSSAD,World Rank 2,Win Rate 60.79%,1538 Matches,odette
(:WAR LORD:),World Rank 3,Win Rate 52.81%,2685 Matches,odette
Rexvolt,World Rank 4,Win Rate 56.19%,1769 Matches,odette
TELE Momorong,World Rank 5,Win Rate 61.23%,632 Matches,odette
r̶e̶i̶g̶a̶LEXI,World Rank 2,Win Rate 88.01%,792 Matches,lancelot
вeѕттacтιc,World Rank 3,Win Rate 70.16%,315 Matches,lancelot
KASKUS JAGO BACOT,World Rank 4,Win Rate 82.53%,1156 Matches,lancelot
BOOM.ID•LeXuZzZ,World Rank 5,Win Rate 70.85%,813 Matches,lancelot
Secret*Lynn ✿,World Rank 2,Win Rate 64.5%,783 Matches,diggie
Desgraça Pelada,World Rank 3,Win Rate 74.59%,551 Matches,diggie
ɪᴍʙᴀ.вoиchon,World Rank 4,Win Rate 87.02%,755 Matches,diggie
ɢᴏsᴜ Keybee,World Rank 5,Win Rate 90.24%,861 Matches,diggie
メ7 ` Kolia,World Rank 2,Win Rate 83.94%,604 Matches,hylos
ᴹᶜゞ甜點,World Rank 3,Win Rate 74.41%,1137 Matches,hylos
ᴿᴴ Dakrow,World Rank 4,Win Rate 71.56%,1009 Matches,hylos
CQR.MARS the CENTAUR,World Rank 5,Win Rate 63.53%,902 Matches,hylos
lx ṃѧṡтєя xl,World Rank 2,Win Rate 67.61%,1491 Matches,zhask
fire7,World Rank 3,Win Rate 58.12%,1139 Matches,zhask
⸈ᵃᵐᵒᵘˢ☺,World Rank 4,Win Rate 62.91%,1270 Matches,zhask
nyuu~,World Rank 5,Win Rate 61.73%,925 Matches,zhask
L̶eo 龟,World Rank 2,Win Rate 82.96%,1549 Matches,helcurt
Sa Sa,World Rank 3,Win Rate 89.83%,885 Matches,helcurt
ƒιяzzуmM,World Rank 4,Win Rate 88.22%,679 Matches,helcurt
ქokƹʀ|Caʀλ ❀,World Rank 5,Win Rate 79.26%,569 Matches,helcurt
нoяηвℓoωєя,World Rank 2,Win Rate 77.9%,733 Matches,pharsa
メ7 ` Kolia,World Rank 3,Win Rate 83.94%,604 Matches,pharsa
MeetYourMaker,World Rank 4,Win Rate 66.76%,355 Matches,pharsa
Ricks,World Rank 5,Win Rate 55.35%,775 Matches,pharsa
ɢᴏsᴜ General,World Rank 2,Win Rate 91.1%,1640 Matches,lesley
ᴿᵉᵏᵗGron鷸,World Rank 3,Win Rate 85.38%,595 Matches,lesley
[ML]-MARKAERON😘,World Rank 4,Win Rate 65.81%,699 Matches,lesley
Sᴀɪɴᴛs JIBON,World Rank 5,Win Rate 77.47%,657 Matches,lesley
メ7 ` Kolia,World Rank 2,Win Rate 83.94%,604 Matches,jawhead
Jokowi_No1_Indonesia,World Rank 3,Win Rate 82.58%,712 Matches,jawhead
● ᴇʀʀᴏʀ ●,World Rank 4,Win Rate 68.26%,1777 Matches,jawhead
ᶰᵛ ᴊᴀᴍᴇs,World Rank 5,Win Rate 91.26%,572 Matches,jawhead
CΣ | Ꭰejakub,World Rank 2,Win Rate 80.73%,467 Matches,angela
ɢᴏsᴜ Keybee,World Rank 3,Win Rate 90.24%,861 Matches,angela
VIER • FJ,World Rank 4,Win Rate 64.2%,1430 Matches,angela
M•T°Lya•Angel,World Rank 5,Win Rate 65.6%,1215 Matches,angela
メ7 `Oh Deer Bambi,World Rank 2,Win Rate 73.76%,888 Matches,gusion
ᴋᴀʀᴍᴀ,World Rank 3,Win Rate 76.2%,710 Matches,gusion
AWolf  G,World Rank 4,Win Rate 85.32%,1008 Matches,gusion
ᶰᵛ ғᴇɴʀɪʀ,World Rank 5,Win Rate 79.12%,656 Matches,gusion
